Unnamed: 0,1 CONTRA LAS PERSONAS,11-Homicidios dolosos/asesinatos,111-Homicidios dolosos/asesinatos consumados,12-Lesiones,13-Malos tratos ámbito familiar,14-Otros contra las personas,2 CONTRA LA LIBERTAD,21-Malos tratos habituales en el ámbito familiar,22-Otros contra la libertad,3 LIBERTAD SEXUAL,31-Agresión sexual,32-Agresión sexual con penetración,33-Corrupción de menores o incapacitados,34-Pornografía de menores,35-Otros contra la libertad sexual,4 RELACIONES FAMILIARES,5 PATRIMONIO,51-Hurtos,52-Robos con fuerza en las cosas,521-Robos con fuerza en las cosas en el interior de vehículos,522-Robos con fuerza en viviendas,523-Robos con fuerza en establecimientos,53-Robos con violencia o intimidación,531-Robos con violencia en vía pública,532-Robos con violencia en viviendas,533-Robos con violencia en establecimientos,54-Sustracción de vehículos,55-Estafas,551-Estafas informáticas,56-Daños,57-Contra la propiedad intelectual/industrial,58-Blanqueo de capitales,59-Otros contra el patrimonio,6 SEGURIDAD COLECTIVA,61-Tráfico de drogas,62-Contra la seguridad vial,63-Otros contra la seguridad colectiva,7 FALSEDADES,8 ADMÓN PÚBLICA,9 ADMÓN JUSTICIA,10 ORDEN PÚBLICO,11 LEGISLACIÓN ESPECIAL,12 OTRAS INFRACCIONES PENALES,TOTAL INFRACCIONES PENALES,Unnamed: 45,Year
    MURCIA (REGIÓN DE),6010.0,36.0,11.0,3333.0,2580.0,61.0,3414.0,337.0,3077.0,478.0,312.0,68.0,15.0,14.0,69.0,588.0,40812.0,14888.0,11206.0,2805.0,5662.0,1073.0,1444.0,968.0,109.0,191.0,951.0,5948.0,2034.0,4848.0,52.0,4.0,1471.0,1502.0,287.0,1143.0,72.0,679.0,16.0,1009.0,570.0,2.0,318.0,55398.0,,2018.0
    NAVARRA (COMUNIDAD FORAL DE),2589.0,25.0,10.0,1506.0,1016.0,42.0,1681.0,111.0,1570.0,271.0,144.0,64.0,7.0,12.0,44.0,73.0,19908.0,7741.0,3093.0,819.0,987.0,476.0,255.0,173.0,20.0,44.0,173.0,4651.0,2126.0,3303.0,38.0,2.0,652.0,1495.0,140.0,1277.0,78.0,340.0,17.0,407.0,306.0,1.0,181.0,27269.0,,2018.0
    PAÍS VASCO,6391.0,43.0,6.0,4579.0,1320.0,449.0,7830.0,2868.0,4962.0,659.0,324.0,162.0,11.0,43.0,119.0,205.0,68582.0,29376.0,12528.0,26.0,4534.0,2759.0,1791.0,1194.0,149.0,283.0,928.0,14570.0,12151.0,7596.0,13.0,5.0,1775.0,2605.0,368.0,2091.0,146.0,1025.0,13.0,1502.0,897.0,0.0,544.0,90253.0,,2018.0
    RIOJA (LA),1057.0,3.0,1.0,562.0,479.0,13.0,502.0,48.0,454.0,61.0,39.0,8.0,1.0,7.0,6.0,20.0,5894.0,2366.0,1001.0,177.0,466.0,133.0,77.0,46.0,8.0,12.0,78.0,1052.0,675.0,1097.0,17.0,1.0,205.0,349.0,73.0,262.0,14.0,64.0,2.0,185.0,87.0,0.0,53.0,8274.0,,2018.0
    CIUDAD AUTÓNOMA DE CEUTA,707.0,2.0,1.0,439.0,264.0,2.0,248.0,16.0,232.0,50.0,36.0,6.0,0.0,2.0,6.0,28.0,2243.0,864.0,313.0,186.0,60.0,25.0,150.0,115.0,7.0,7.0,247.0,291.0,182.0,324.0,0.0,4.0,50.0,385.0,166.0,215.0,4.0,602.0,8.0,178.0,134.0,3.0,136.0,4722.0,,2018.0
    CIUDAD AUTÓNOMA DE MELILLA,874.0,1.0,0.0,574.0,275.0,24.0,340.0,3.0,337.0,27.0,18.0,2.0,1.0,2.0,4.0,22.0,3329.0,1237.0,787.0,589.0,91.0,35.0,332.0,260.0,6.0,8.0,88.0,373.0,176.0,445.0,11.0,0.0,56.0,314.0,48.0,232.0,34.0,196.0,1.0,78.0,165.0,1.0,141.0,5488.0,,2018.0
    EN EL EXTRANJERO,141.0,0.0,0.0,19.0,120.0,2.0,313.0,8.0,305.0,43.0,19.0,10.0,1.0,8.0,5.0,74.0,13478.0,3030.0,297.0,192.0,26.0,14.0,264.0,191.0,1.0,14.0,82.0,9536.0,3822.0,55.0,3.0,6.0,205.0,12.0,12.0,0.0,0.0,391.0,1.0,28.0,2.0,0.0,21.0,14504.0,,2018.0
    DESCONOCIDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2018.0
    TOTAL NACIONAL,174217.0,1106.0,307.0,100354.0,69812.0,2945.0,119031.0,14238.0,104793.0,11692.0,6580.0,2136.0,400.0,767.0,1809.0,7915.0,1593930.0,712398.0,301734.0,102988.0,105095.0,35059.0,61763.0,27561.0,3389.0,5383.0,42519.0,214625.0,94792.0,214246.0,1622.0,260.0,44763.0,59162.0,12958.0,43942.0,2262.0,20640.0,668.0,29001.0,19591.0,165.0,9772.0,2045784.0,,2017.0
    ANDALUCÍA,35087.0,256.0,49.0,20068.0,14179.0,584.0,24427.0,2857.0,21570.0,2064.0,1157.0,273.0,104.0,153.0,377.0,1561.0,242164.0,103746.0,52435.0,19447.0,17276.0,7303.0,7668.0,5116.0,568.0,1146.0,8755.0,25204.0,10366.0,35372.0,445.0,61.0,8478.0,13039.0,3472.0,9122.0,445.0,3594.0,120.0,6196.0,3573.0,91.0,2415.0,334331.0,,2017.0
