year,region,latitude,longitude,population,variable,value,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
2020,8,41.3851,2.1734,7675217.0,2_against_freedom,18660.691944444447,0,1,0,0,0,0,0,0,0,0.249663580128618
2020,11,39.4699,-0.3763,5003769.0,2_against_freedom,13913.064444444446,0,1,0,0,0,0,0,0,0,0.02466296908596281
2020,12,39.4765,-6.3722,1067710.0,2_against_freedom,3122.7411111111105,0,1,0,0,0,0,0,0,0,-0.3722179503800192
2020,13,42.5751,-8.1339,2699499.0,2_against_freedom,6759.635833333335,0,1,0,0,0,0,0,0,0,-0.23610856518461443
2020,14,40.4168,-3.7038,6663394.0,2_against_freedom,15640.54694444444,0,1,0,0,0,0,0,0,0,0.10634682823666027
2020,15,37.9922,-1.1307,1493898.0,2_against_freedom,4031.743888888889,0,1,0,0,0,0,0,0,0,-0.32599728183239635
2020,16,42.6954,-1.6761,654214.0,2_against_freedom,2641.4480555555556,0,1,0,0,0,0,0,0,0,-0.3939506824134623
2020,17,43.263,-2.9349,2207776.0,2_against_freedom,8159.368055555557,0,1,0,0,0,0,0,0,0,-0.1607744258463403
2020,18,42.2871,-2.5396,316798.0,2_against_freedom,600.1697222222216,0,1,0,0,0,0,0,0,0,-0.4410721541826411
2020,9,35.8894,-5.3198,84777.0,2_against_freedom,331.34222222222223,0,1,0,0,0,0,0,0,0,-0.4500125444983267
2020,10,35.293,-2.9387,86487.0,2_against_freedom,376.4969444444445,0,1,0,0,0,0,0,0,0,-0.4472825431936642
2020,0,37.3873,-5.9869,8414240.0,3_sexual_freedom,2130.6455555555563,0,0,1,0,0,0,0,0,0,-0.3715970454030621
2020,1,41.6488,-0.8891,1319291.0,3_sexual_freedom,332.6997222222223,0,0,1,0,0,0,0,0,0,-0.4478832400830915
2020,2,43.3619,-5.8494,1022800.0,3_sexual_freedom,204.0025000000002,0,0,1,0,0,0,0,0,0,-0.4530610752268646
2020,3,39.5712,2.6466,1149460.0,3_sexual_freedom,543.6219444444445,0,0,1,0,0,0,0,0,0,-0.4365062841003847
2020,5,28.2916,-16.6291,2153389.0,3_sexual_freedom,715.5836111111112,0,0,1,0,0,0,0,0,0,-0.43091730725442967
