year,region,latitude,longitude,population,values_year,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
2013,16,42.6954,-1.6761,644477.0,3712,1,0,0,0,0,0,0,0,0,-0.3620851819126004
2013,17,43.263,-2.9349,2191682.0,12268,1,0,0,0,0,0,0,0,0,0.004617666755435636
2013,18,42.2871,-2.5396,322027.0,1462,1,0,0,0,0,0,0,0,0,-0.40448002906160724
2013,9,35.8894,-5.3198,84180.0,743,1,0,0,0,0,0,0,0,0,-0.43670860504916326
2013,10,35.293,-2.9387,83679.0,879,1,0,0,0,0,0,0,0,0,-0.43136348496612487
2019,0,37.3873,-5.9869,8414240.0,25751,0,1,0,0,0,0,0,0,0,0.45683974795098103
2019,1,41.6488,-0.8891,1319291.0,2276,0,1,0,0,0,0,0,0,0,-0.38529819800420856
2019,2,43.3619,-5.8494,1022800.0,1872,0,1,0,0,0,0,0,0,0,-0.3983994461130304
2019,3,39.5712,2.6466,1149460.0,4718,0,1,0,0,0,0,0,0,0,-0.3010755752778194
2019,5,28.2916,-16.6291,2153389.0,9328,0,1,0,0,0,0,0,0,0,-0.13288515730994074
2019,4,43.1828,-3.9878,581078.0,1455,0,1,0,0,0,0,0,0,0,-0.41690911138986086
2019,7,41.6523,-4.7245,2399548.0,5398,0,1,0,0,0,0,0,0,0,-0.2696126545071232
2019,6,39.8628,-4.0273,2032863.0,4655,0,1,0,0,0,0,0,0,0,-0.300012025589211
2019,8,41.3851,2.1734,7675217.0,18675,0,1,0,0,0,0,0,0,0,0.23585358667132966
2019,11,39.4699,-0.3763,5003769.0,13046,0,1,0,0,0,0,0,0,0,7.793629227986373e-05
2019,12,39.4765,-6.3722,1067710.0,2423,0,1,0,0,0,0,0,0,0,-0.38419568354499506
2019,13,42.5751,-8.1339,2699499.0,5692,0,1,0,0,0,0,0,0,0,-0.24233752227219257
2019,14,40.4168,-3.7038,6663394.0,15655,0,1,0,0,0,0,0,0,0,0.06956293009389115
2019,15,37.9922,-1.1307,1493898.0,3741,0,1,0,0,0,0,0,0,0,-0.34269179887454426
2019,16,42.6954,-1.6761,654214.0,1799,0,1,0,0,0,0,0,0,0,-0.40158112309301314
2019,17,43.263,-2.9349,2207776.0,7779,0,1,0,0,0,0,0,0,0,-0.16998122310894034
2019,18,42.2871,-2.5396,316798.0,518,0,1,0,0,0,0,0,0,0,-0.44978207258617103
