year,region,1_against_people,2_against_freedom,3_sexual_freedom,4_family_relationships,5_property_crimes,6_collective_security,7_forgeries,8_public_administration,9_justice_administration,Latitude,Longitude,avg_crimes,years_from_today,population
2013,4,3180,331,55,54,11875,873,99,1,300,43.1828,-3.9878,878.0,11,591.888
2013,7,13015,1221,238,282,58837,3329,474,8,953,41.6523,-4.7245,4077.5365853658536,11,2.519.875
2013,6,11134,1343,309,392,53668,3463,706,15,1050,39.8628,-4.0273,3851.0975609756097,11,2.100.998
2013,8,35622,10144,1647,2358,361187,8111,3486,68,3450,41.3851,2.1734,22043.80487804878,11,7.553.650
2013,11,32380,4454,1102,967,201297,8696,2102,31,4054,39.4699,-0.3763,13732.829268292682,11,5.113.815
2013,12,5210,663,147,251,20336,1233,237,3,603,39.4765,-6.3722,1482.4878048780488,11,1.104.004
2013,13,14182,1667,340,236,56486,5145,573,21,1022,42.5751,-8.1339,4196.90243902439,11,2.765.940
2013,14,35149,3797,1320,1232,317363,7690,2823,24,3553,40.4168,-3.7038,20003.317073170732,11,6.495.551
2013,15,8457,1128,288,493,40564,1666,405,8,783,37.9922,-1.1307,2893.121951219512,11,1.472.049
2013,16,3712,748,119,119,17447,647,227,23,198,42.6954,-1.6761,1210.0731707317073,11,644.477
2013,17,12268,4680,397,498,65419,2787,799,24,1470,43.263,-2.9349,4561.048780487805,11,2.191.682
2013,18,1462,165,37,32,7086,396,52,0,115,42.2871,-2.5396,500.9024390243902,11,322.027
2013,9,743,143,16,55,3046,1163,301,5,125,35.8894,-5.3198,284.8048780487805,11,84.180
2013,10,879,89,38,22,2834,379,145,6,43,35.293,-2.9387,235.3170731707317,11,83.679
2012,0,59894,7671,1632,1691,289754,17340,3211,67,6422,37.3873,-5.9869,20506.90243902439,12,8.449.985
2012,1,5987,914,215,148,35860,1411,329,6,618,41.6488,-0.8891,2398.170731707317,12,1.349.467
2012,2,5677,539,149,160,20612,1545,204,6,408,43.3619,-5.8494,1524.0487804878048,12,1.077.360
2012,3,8966,1384,383,258,58202,2948,419,15,781,39.5712,2.6466,3851.268292682927,12,1.119.439
2012,5,19993,1983,525,1016,66731,4127,554,21,1329,28.2916,-16.6291,5025.09756097561,12,2.118.344
2012,4,3292,359,48,40,12651,1005,138,2,306,43.1828,-3.9878,939.170731707317,12,593.861
2012,7,13943,1220,309,290,61485,3882,441,10,1009,41.6523,-4.7245,4292.073170731707,12,2.546.078
