,year,region,latitude,longitude,population,variable,value,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
192,2020,2,43.3619,-5.8494,1022800.0,2_against_freedom,3090.4569444444446,0,1,0,0,0,0,0,0,0,-0.38995062437661615
193,2020,3,39.5712,2.6466,1149460.0,2_against_freedom,4611.934722222222,0,1,0,0,0,0,0,0,0,-0.2874529524724882
194,2020,5,28.2916,-16.6291,2153389.0,2_against_freedom,10043.841666666665,0,1,0,0,0,0,0,0,0,-0.11256196961663265
195,2020,4,43.1828,-3.9878,581078.0,2_against_freedom,1536.4619444444443,0,1,0,0,0,0,0,0,0,-0.40667028736246447
196,2020,7,41.6523,-4.7245,2399548.0,2_against_freedom,6910.221944444441,0,1,0,0,0,0,0,0,0,-0.25815095823494644
197,2020,6,39.8628,-4.0273,2032863.0,2_against_freedom,4936.995000000001,0,1,0,0,0,0,0,0,0,-0.2859506763304642
198,2020,8,41.3851,2.1734,7675217.0,2_against_freedom,18660.691944444447,0,1,0,0,0,0,0,0,0,0.24966358012861817
199,2020,11,39.4699,-0.3763,5003769.0,2_against_freedom,13913.064444444446,0,1,0,0,0,0,0,0,0,0.024662969085962827
200,2020,12,39.4765,-6.3722,1067710.0,2_against_freedom,3122.7411111111105,0,1,0,0,0,0,0,0,0,-0.37221795038001954
201,2020,13,42.5751,-8.1339,2699499.0,2_against_freedom,6759.635833333335,0,1,0,0,0,0,0,0,0,-0.23610856518461462
202,2020,14,40.4168,-3.7038,6663394.0,2_against_freedom,15640.54694444444,0,1,0,0,0,0,0,0,0,0.10634682823666032
203,2020,15,37.9922,-1.1307,1493898.0,2_against_freedom,4031.743888888889,0,1,0,0,0,0,0,0,0,-0.3259972818323966
204,2020,16,42.6954,-1.6761,654214.0,2_against_freedom,2641.4480555555556,0,1,0,0,0,0,0,0,0,-0.39395068241346254
205,2020,17,43.263,-2.9349,2207776.0,2_against_freedom,8159.368055555557,0,1,0,0,0,0,0,0,0,-0.1607744258463404
206,2020,18,42.2871,-2.5396,316798.0,2_against_freedom,600.1697222222216,0,1,0,0,0,0,0,0,0,-0.44107215418264145
207,2020,9,35.8894,-5.3198,84777.0,2_against_freedom,331.34222222222223,0,1,0,0,0,0,0,0,0,-0.4500125444983271
208,2020,10,35.293,-2.9387,86487.0,2_against_freedom,376.4969444444445,0,1,0,0,0,0,0,0,0,-0.44728254319366445
209,2020,0,37.3873,-5.9869,8414240.0,3_sexual_freedom,2130.6455555555563,0,0,1,0,0,0,0,0,0,-0.3715970454030623
