year,region,Latitude,Longitude,population,values_year,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,values_year_minus_1,values_year_minus_2,values_year_minus_3
2015,17,43.263,-2.9349,2.189.257,6342,0,1,0,0,0,0,0,0,0,4788.0,4680.0,4713.0
2015,18,42.2871,-2.5396,317.053,327,0,1,0,0,0,0,0,0,0,194.0,165.0,195.0
2015,9,35.8894,-5.3198,84.263,182,0,1,0,0,0,0,0,0,0,109.0,143.0,175.0
2015,10,35.293,-2.9387,85.584,172,0,1,0,0,0,0,0,0,0,82.0,89.0,87.0
2014,0,37.3873,-5.9869,8.402.305,7364,0,1,0,0,0,0,0,0,0,7773.0,7671.0,7145.0
2014,1,41.6488,-0.8891,1.325.385,909,0,1,0,0,0,0,0,0,0,909.0,914.0,1038.0
2014,2,43.3619,-5.8494,1.061.756,494,0,1,0,0,0,0,0,0,0,513.0,539.0,532.0
2014,3,39.5712,2.6466,1.103.442,1350,0,1,0,0,0,0,0,0,0,1327.0,1384.0,1590.0
2014,5,28.2916,-16.6291,2.104.815,2014,0,1,0,0,0,0,0,0,0,2103.0,1983.0,2228.0
2014,4,43.1828,-3.9878,588.656,356,0,1,0,0,0,0,0,0,0,331.0,359.0,384.0
2014,7,41.6523,-4.7245,2.494.790,1242,0,1,0,0,0,0,0,0,0,1221.0,1220.0,1266.0
2014,6,39.8628,-4.0273,2.078.611,1303,0,1,0,0,0,0,0,0,0,1343.0,1286.0,1358.0
