Unnamed: 0,1. CONTRA LAS PERSONAS,1.1.-Homicidios dolosos/asesinatos,1.1.1.-Homicidios dolosos/asesinatos consumados,1.2.-Lesiones,1.3.-Malos tratos ámbito familiar,1.4.-Otros contra las personas,2. CONTRA LA LIBERTAD,2.1.-Malos tratos habituales en el ámbito familiar,2.2.-Otros contra la libertad,3. LIBERTAD SEXUAL,3.1.-Agresión sexual,3.2.-Agresión sexual con penetración,3.3.-Corrupción de menores o incapacitados,3.4.-Pornografía de menores,3.5.-Otros contra la libertad sexual,4. RELACIONES FAMILIARES,5. PATRIMONIO,5.1.-Hurtos,5.2.-Robos con fuerza en las cosas,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,5.2.2.-Robos con fuerza en viviendas,5.2.3.-Robos con fuerza en establecimientos,5.3.-Robos con violencia o intimidación,5.3.1.-Robos con violencia en vía pública,5.3.2.-Robos con violencia en viviendas,5.3.3.-Robos con violencia en establecimientos,5.4.-Sustracción de vehículos,5.5.-Estafas,5.5.1.-Estafas informáticas,5.6.-Daños,5.7.-Contra la propiedad intelectual/industrial,5.8.-Blanqueo de capitales,5.9.-Otros contra el patrimonio,6. SEGURIDAD COLECTIVA,6.1.-Tráfico de drogas,6.2.-Contra la seguridad vial,6.3.-Otros contra la seguridad colectiva,7. FALSEDADES,8. ADMÓN. PÚBLICA,9. ADMÓN. JUSTICIA,10. ORDEN PÚBLICO,11. LEGISLACIÓN ESPECIAL,12. OTRAS INFRACCIONES PENALES,TOTAL INFRACCIONES PENALES,Year
    NAVARRA (COMUNIDAD FORAL DE),3098.0,24.0,3.0,1838.0,1109.0,127.0,2343.0,246.0,2097.0,347.0,218.0,76.0,11.0,6.0,36.0,96.0,23928.0,8108.0,2850.0,649.0,985.0,419.0,422.0,303.0,27.0,55.0,132.0,7834.0,4816.0,3759.0,12.0,7.0,804.0,1745.0,147.0,1535.0,63.0,617.0,13.0,500.0,535.0,5.0,182.0,33409.0,2022.0
    PAÍS VASCO,8330.0,71.0,8.0,5353.0,2418.0,488.0,7686.0,2321.0,5365.0,813.0,443.0,235.0,15.0,16.0,104.0,125.0,75817.0,29230.0,12113.0,32.0,5113.0,1948.0,2201.0,1614.0,103.0,264.0,718.0,21346.0,18861.0,8193.0,30.0,10.0,1976.0,3527.0,623.0,2800.0,104.0,1687.0,15.0,1736.0,1437.0,1.0,582.0,101756.0,2022.0
    RIOJA (LA),1391.0,9.0,1.0,792.0,550.0,40.0,816.0,97.0,719.0,109.0,77.0,19.0,5.0,2.0,6.0,32.0,8254.0,2743.0,1251.0,208.0,527.0,167.0,121.0,69.0,8.0,29.0,77.0,2494.0,2152.0,1270.0,2.0,2.0,294.0,507.0,98.0,373.0,36.0,180.0,1.0,267.0,147.0,1.0,49.0,11754.0,2022.0
    CIUDAD AUTÓNOMA DE CEUTA,738.0,35.0,4.0,432.0,268.0,3.0,335.0,12.0,323.0,46.0,35.0,5.0,1.0,3.0,2.0,29.0,1817.0,425.0,211.0,134.0,31.0,13.0,107.0,75.0,5.0,10.0,107.0,529.0,469.0,378.0,2.0,1.0,57.0,277.0,115.0,153.0,9.0,78.0,0.0,108.0,152.0,2.0,53.0,3635.0,2022.0
    CIUDAD AUTÓNOMA DE MELILLA,926.0,7.0,2.0,532.0,368.0,19.0,430.0,14.0,416.0,22.0,15.0,4.0,0.0,0.0,3.0,13.0,2276.0,732.0,307.0,191.0,46.0,38.0,121.0,96.0,6.0,9.0,78.0,536.0,329.0,427.0,0.0,1.0,74.0,303.0,69.0,232.0,2.0,58.0,1.0,106.0,106.0,0.0,68.0,4309.0,2022.0
    EN EL EXTRANJERO,172.0,1.0,1.0,28.0,137.0,6.0,213.0,20.0,193.0,87.0,55.0,22.0,1.0,2.0,7.0,54.0,9917.0,2078.0,353.0,218.0,17.0,11.0,164.0,111.0,0.0,10.0,66.0,7029.0,5451.0,40.0,1.0,8.0,178.0,24.0,23.0,1.0,0.0,113.0,1.0,20.0,9.0,1.0,18.0,10629.0,2022.0
    DESCONOCIDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0
    TOTAL NACIONAL,183590.0,1322.0,293.0,96159.0,82003.0,4106.0,139867.0,15008.0,124859.0,17016.0,10061.0,3795.0,347.0,739.0,2074.0,7410.0,1434698.0,493479.0,229137.0,87774.0,75501.0,27198.0,53073.0,35726.0,3477.0,6663.0,26417.0,373113.0,267011.0,201828.0,1176.0,343.0,56132.0,68891.0,18313.0,48394.0,2184.0,34058.0,541.0,33370.0,27594.0,343.0,10341.0,1957719.0,2021.0
    ANDALUCÍA,37296.0,274.0,55.0,19996.0,16314.0,712.0,27291.0,2806.0,24485.0,2690.0,1651.0,451.0,68.0,125.0,395.0,1575.0,210150.0,68916.0,36839.0,13902.0,11457.0,4786.0,5911.0,3871.0,559.0,871.0,4848.0,51085.0,35288.0,31827.0,217.0,86.0,10421.0,15532.0,4816.0,10181.0,535.0,5643.0,77.0,6732.0,4900.0,241.0,2767.0,314894.0,2021.0
    ARAGÓN,4530.0,18.0,5.0,2235.0,2167.0,110.0,2785.0,308.0,2477.0,443.0,256.0,102.0,14.0,28.0,43.0,156.0,30192.0,8925.0,4365.0,961.0,1346.0,658.0,960.0,644.0,50.0,173.0,252.0,9175.0,7310.0,5347.0,29.0,6.0,1133.0,1401.0,407.0,966.0,28.0,673.0,7.0,696.0,665.0,0.0,248.0,41796.0,2021.0
    ASTURIAS (PRINCIPADO DE),3208.0,9.0,1.0,1743.0,1393.0,63.0,1946.0,91.0,1855.0,266.0,135.0,67.0,8.0,19.0,37.0,91.0,18028.0,4705.0,1976.0,394.0,832.0,365.0,295.0,155.0,25.0,67.0,259.0,7061.0,6187.0,2931.0,11.0,1.0,789.0,1098.0,166.0,855.0,77.0,411.0,8.0,568.0,489.0,1.0,226.0,26340.0,2021.0
    BALEARS (ILLES),7431.0,38.0,6.0,3101.0,4114.0,178.0,5619.0,682.0,4937.0,777.0,513.0,122.0,19.0,22.0,101.0,270.0,41567.0,16433.0,6119.0,2582.0,1921.0,725.0,896.0,571.0,79.0,118.0,1073.0,10035.0,7005.0,5010.0,74.0,4.0,1923.0,1988.0,389.0,1532.0,67.0,1008.0,7.0,1357.0,718.0,0.0,273.0,61015.0,2021.0
    CANARIAS,12465.0,53.0,16.0,6534.0,5498.0,380.0,10102.0,910.0,9192.0,946.0,612.0,177.0,11.0,54.0,92.0,631.0,49285.0,17144.0,7639.0,2915.0,2428.0,956.0,1316.0,745.0,121.0,255.0,983.0,12702.0,8916.0,7413.0,48.0,15.0,2025.0,3096.0,531.0,2494.0,71.0,1208.0,33.0,1821.0,1082.0,1.0,562.0,81232.0,2021.0
    CANTABRIA,2069.0,15.0,4.0,1244.0,708.0,102.0,1695.0,149.0,1546.0,130.0,78.0,30.0,1.0,5.0,16.0,38.0,14239.0,3820.0,2528.0,501.0,1167.0,437.0,194.0,99.0,25.0,38.0,140.0,4483.0,3243.0,2426.0,24.0,2.0,622.0,777.0,96.0,660.0,21.0,222.0,2.0,276.0,279.0,2.0,165.0,19894.0,2021.0
