year,region,latitude,longitude,population,variable,value,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA,values_year_minus_1,values_year_minus_2,values_year_minus_3
2020,0,37.3873,-5.9869,8414240.0,8_public_administration,303.00944444444445,0,0,0,0,0,0,0,1,0,-0.45571552476488814,,,
2020,1,41.6488,-0.8891,1319291.0,8_public_administration,26.288055555555555,0,0,0,0,0,0,0,1,0,-0.4598078233931383,,,
2020,2,43.3619,-5.8494,1022800.0,8_public_administration,18.57972222222222,0,0,0,0,0,0,0,1,0,-0.45988803870116435,,,
2020,3,39.5712,2.6466,1149460.0,8_public_administration,57.746666666666655,0,0,0,0,0,0,0,1,0,-0.45958767722170735,,,
2020,5,28.2916,-16.6291,2153389.0,8_public_administration,235.07277777777776,0,0,0,0,0,0,0,1,0,-0.4578609112428766,,,
2020,4,43.1828,-3.9878,581078.0,8_public_administration,16.675277777777772,0,0,0,0,0,0,0,1,0,-0.45996341127057633,,,
2020,7,41.6523,-4.7245,2399548.0,8_public_administration,38.87777777777779,0,0,0,0,0,0,0,1,0,-0.45930274793745446,,,
2020,6,39.8628,-4.0273,2032863.0,8_public_administration,52.57000000000001,0,0,0,0,0,0,0,1,0,-0.45834065272532454,,,
2020,8,41.3851,2.1734,7675217.0,8_public_administration,170.12194444444447,0,0,0,0,0,0,0,1,0,-0.45757795833819065,,,
2020,11,39.4699,-0.3763,5003769.0,8_public_administration,129.5905555555556,0,0,0,0,0,0,0,1,0,-0.45747458670190216,,,
2020,12,39.4765,-6.3722,1067710.0,8_public_administration,28.26972222222222,0,0,0,0,0,0,0,1,0,-0.459760259659286,,,
2020,13,42.5751,-8.1339,2699499.0,8_public_administration,43.73250000000001,0,0,0,0,0,0,0,1,0,-0.45934979589479347,,,
2020,14,40.4168,-3.7038,6663394.0,8_public_administration,150.4616666666668,0,0,0,0,0,0,0,1,0,-0.4577535033444661,,,
2020,15,37.9922,-1.1307,1493898.0,8_public_administration,39.263611111111096,0,0,0,0,0,0,0,1,0,-0.45935566366906216,,,
2020,16,42.6954,-1.6761,654214.0,8_public_administration,29.241666666666667,0,0,0,0,0,0,0,1,0,-0.45936526919488163,,,
2020,17,43.263,-2.9349,2207776.0,8_public_administration,31.92500000000001,0,0,0,0,0,0,0,1,0,-0.45949890949365685,,,
2020,18,42.2871,-2.5396,316798.0,8_public_administration,14.598055555555547,0,0,0,0,0,0,0,1,0,-0.4599131628909683,,,
2020,9,35.8894,-5.3198,84777.0,8_public_administration,24.235833333333343,0,0,0,0,0,0,0,1,0,-0.45969240369785946,,,
2020,10,35.293,-2.9387,86487.0,8_public_administration,14.443333333333328,0,0,0,0,0,0,0,1,0,-0.4599885181666243,,,
2020,0,37.3873,-5.9869,8414240.0,9_justice_administration,6253.8911111111165,0,0,0,0,0,0,0,0,1,-0.21161089661115987,,,
2020,1,41.6488,-0.8891,1319291.0,9_justice_administration,665.2872222222226,0,0,0,0,0,0,0,0,1,-0.432931693938346,,,
2020,2,43.3619,-5.8494,1022800.0,9_justice_administration,626.3075000000002,0,0,0,0,0,0,0,0,1,-0.43824095966447324,,,
2020,3,39.5712,2.6466,1149460.0,9_justice_administration,997.1327777777772,0,0,0,0,0,0,0,0,1,-0.4215309234995078,,,
2020,5,28.2916,-16.6291,2153389.0,9_justice_administration,1475.2063888888895,0,0,0,0,0,0,0,0,1,-0.39950903246487574,,,
2020,4,43.1828,-3.9878,581078.0,9_justice_administration,275.92888888888865,0,0,0,0,0,0,0,0,1,-0.44889932368473934,,,
2020,7,41.6523,-4.7245,2399548.0,9_justice_administration,1064.0747222222221,0,0,0,0,0,0,0,0,1,-0.4173032600463697,,,
2020,6,39.8628,-4.0273,2032863.0,9_justice_administration,1048.5983333333334,0,0,0,0,0,0,0,0,1,-0.41631851976577233,,,
2020,8,41.3851,2.1734,7675217.0,9_justice_administration,3423.707777777769,0,0,0,0,0,0,0,0,1,-0.3271353984606857,,,
2020,11,39.4699,-0.3763,5003769.0,9_justice_administration,4494.7425,0,0,0,0,0,0,0,0,1,-0.2907064966529622,,,
2020,12,39.4765,-6.3722,1067710.0,9_justice_administration,675.2202777777779,0,0,0,0,0,0,0,0,1,-0.435753577182253,,,
2020,13,42.5751,-8.1339,2699499.0,9_justice_administration,1243.0266666666666,0,0,0,0,0,0,0,0,1,-0.41006886332845466,,,
2020,14,40.4168,-3.7038,6663394.0,9_justice_administration,4222.921666666667,0,0,0,0,0,0,0,0,1,-0.2876376080030286,,,
