region,1_against_people,1.1_intentional_homicides_murders,1.1.1_intentional_homicides_murders_committed,1.2_injuries,1.3_domestic_violence,1.4_other_crimes_against_people,2_against_freedom,2.1_habitual_domestic_violence,2.2_other_crimes_against_freedom,3_sexual_freedom,3.1_sexual_assault,3.1.1_sexual_assault_with_penetration,3.2_corruption_of_minors_or_disabled,3.3_child_pornography,3.4_other_crimes_against_sexual_freedom,4_family_relationships,5_property_crimes,5.1_thefts,5.2_robbery_with_force,521_Robos_con_fuerza_en_las_cosas_en_el_interior_de_vehículos,5.2.2_robbery_with_force_in_homes,5.2.3_robbery_with_force_in_establishments,5.3_robbery_with_violence_or_intimidation,5.3.1_robbery_with_violence_in_public_ways,5.3.2_robbery_with_violence_in_homes,5.3.3_robbery_with_violence_in_establishments,5.4_vehicle_theft,5.5_fraud,5.5.1_computer_fraud,5.6_damage,5.7_against_intellectual_industrial_property,5.8_money_laundering,5.9_other_property_crimes,6_collective_security,6.1_drug_trafficking,6.2_against_road_safety,6.3_other_collective_security_crimes,7_forgeries,8_public_administration,9_justice_administration,10_public_order,11_special_legislation,12_other_criminal_offenses,total_criminal_offenses,year
CANARIAS,11643,54,12,5938,5333,318,9855,852,9003,875,509,169,42,54,101,654,53017,16683,7501,2682,2356,1100,1180,622,148,246,1012,17540,12642,6729,36,8,2328,2965,573,2316,76,1000,17,1720,1395,1,493,83635,2020
CANTABRIA,1748,4,1,1042,609,93,1450,129,1321,89,48,16,2,5,18,40,11558,3236,2225,464,858,499,178,82,20,37,100,3271,2513,2039,12,0,497,676,96,563,17,150,4,278,440,0,152,16585,2020
CASTILLA Y LEÓN,6231,44,16,3471,2513,203,5340,523,4817,415,226,70,12,27,80,138,46705,11414,6517,1526,2117,1179,542,307,55,110,400,17531,13841,8662,40,6,1593,2416,502,1814,100,1029,13,1078,1078,2,580,65025,2020
CASTILLA - LA MANCHA,6376,52,17,3268,2906,150,4776,568,4208,452,296,67,18,16,55,327,42905,9588,9102,2248,3473,1186,754,398,95,172,488,13307,8405,7228,14,13,2411,2898,552,2255,91,1251,13,1181,1220,4,505,61908,2020
CATALUÑA,16105,198,48,9617,5938,352,15736,1315,14421,2306,1149,695,4,172,286,953,300574,110685,55190,148,17116,6744,17082,12297,861,1682,6130,64214,46982,35469,178,31,11595,7799,2946,4693,160,2787,34,3172,2962,10,614,353052,2020
COMUNITAT VALENCIANA,20231,126,37,9208,10608,289,13334,1631,11703,1518,904,279,43,62,230,793,137438,43801,26465,8189,11681,3276,3772,2189,397,628,2377,32774,21917,22310,146,63,5730,6714,1863,4618,233,3109,48,4721,4137,28,1151,193222,2020
EXTREMADURA,2740,21,9,1579,1084,56,2382,261,2121,184,112,24,8,5,35,204,16499,4228,2876,481,990,559,211,102,29,58,151,5381,3917,2967,25,5,655,1036,301,690,45,524,2,662,488,7,313,25041,2020
GALICIA,7268,44,11,4044,3022,158,6035,620,5415,547,309,108,7,36,87,177,50924,12348,7538,2288,2403,1568,767,343,105,224,437,19807,12696,8188,31,17,1791,4324,552,3609,163,1004,19,1403,1108,7,528,73344,2020
MADRID (COMUNIDAD DE),25967,136,38,10596,14809,426,15636,1104,14532,1976,1084,473,46,95,278,754,243275,92213,31715,15947,7052,4972,10688,7362,633,1304,6235,64133,44139,31429,76,42,6744,6933,2470,4270,193,4584,35,4481,5673,9,871,310194,2020
MURCIA (REGIÓN DE),5597,51,10,2966,2504,76,4019,378,3641,505,296,94,14,32,69,534,35539,9925,8287,2352,3796,859,1207,742,123,176,726,8822,5887,4733,50,13,1776,1308,389,865,54,929,25,1159,900,14,440,50969,2020
